synthetic_promoter	Rho_basal_wt	Rho_basal_crxnull	hsp68_basal_wt	NRL_motif	CRX_affinity_score
NxN	0.508376332	0.126993575	0.016686	2	0.07495701
NXn	0.764969821	0.213448197	0.034760308	2	0.07495701
NXN	1.024467507	0.295687771	0.061381957	2	0.07495701
nxr	0.882710534	0.587554265	0.03341585	1	1.05840761
nxR	0.689596803	0.370999673	0.092287757	1	1.05840761
nXr	1.669322556	1.365726566	0.091547867	1	1.05840761
nXR	0.943674706	0.662466895	0.058389417	1	1.05840761
Nxr	0.586805898	0.368969592	0.031666291	1	1.05840761
NxR	0.309225232	0.120525298	0.016892186	1	1.05840761
NXr	2.008223509	1.294728606	0.130854075	1	1.05840761
NXR	1.161841116	0.71697194	0.0746772	1	1.05840761
nxx	0.971194505	0.532844886	0.036492706	1	0.14991402
nxX	0.551243051	0.237651406	0.013128597	1	0.14991402
nXx	0.560133884	0.300980167	0.026913742	1	0.14991402
nXX	1.2387017	0.721100039	0.038072993	1	0.14991402
Nxx	0.595697156	0.285967327	0.048647333	1	0.14991402
NxX	0.314278174	0.109705513	0.011319448	1	0.14991402
NXx	0.748692099	0.368174143	0.102357816	1	0.14991402
NXX	1.38974892	0.655915139	0.04027951	1	0.14991402
rcc	0.069264873	1.288349211	0.436528733	0	2.9832038
rcC	0.155446705	1.258365217	0.306323316	0	2.9832038
rCc	0.117636024	1.206394431	0.115600415	0	2.9832038
rCC	0.089258354	1.052254561	0.103191999	0	2.9832038
Rcc	0.126276355	1.37909749	0.960659856	0	2.9832038
RcC	0.21666783	1.334984301	0.883666519	0	2.9832038
RCc	0.206732774	1.954684085	1.821240543	0	2.9832038
RCC	0.125329883	1.514729522	1.701964919	0	2.9832038
rcn	1.980062467	1.491593734	0.175874084	1	1.9833272
rcN	2.08357202	1.527073673	0.252491653	1	1.9833272
rCn	1.493494343	1.102944605	0.042435412	1	1.9833272
rCN	2.008895476	1.55938219	0.059298224	1	1.9833272
Rcn	2.665630166	2.021673827	0.696759878	1	1.9833272
RcN	2.763167083	1.906433351	0.967606225	1	1.9833272
RCn	2.981057131	2.340514818	0.886893158	1	1.9833272
RCN	3.57287425	2.997426939	2.068372691	1	1.9833272
rcr	0.050131514	0.840948479	0.134475251	0	2.9667778
rcR	0.073803088	0.735639427	0.012744088	0	2.9667778
rCr	0.202079125	0.527319816	0.046288326	0	2.9667778
rCR	0.041166675	0.567108603	0.012637814	0	2.9667778
Rcr	0.092095934	1.127557812	0.156263777	0	2.9667778
RcR	0.118141879	1.146349762	0.100564796	0	2.9667778
RCr	0.115872844	1.149962005	0.151695358	0	2.9667778
RCR	0.102807248	1.358730639	0.904215094	0	2.9667778
rcx	0.125648065	0.857878566	0.092397906	0	2.05828421
rcX	0.216888609	0.569153689	0.023989002	0	2.05828421
rCx	0.078556892	0.381018959	0.021191589	0	2.05828421
rCX	0.192966323	0.580881089	0.006646053	0	2.05828421
Rcx	0.35001135	0.961578986	0.046467676	0	2.05828421
RcX	0.228215879	0.660336882	0.035292582	0	2.05828421
RCx	0.250008361	0.878571998	0.113111096	0	2.05828421
RCX	0.51257557	1.547795835	0.145329126	0	2.05828421
rnc	1.32923472	1.001994148	0.037293992	1	1.9833272
rnC	1.037176585	0.620659046	0.041008636	1	1.9833272
rNc	0.852414306	0.736172791	0.028477473	1	1.9833272
rNC	0.757301681	0.534979278	0.051222022	1	1.9833272
Rnc	2.443872372	1.689758635	0.101200749	1	1.9833272
RnC	1.7878906	1.06662276	0.151114772	1	1.9833272
RNc	2.277422069	1.529006041	0.129727482	1	1.9833272
RNC	2.366960121	1.471399786	0.238872879	1	1.9833272
rnn	0.459970769	0.147779264	0.01298147	2	0.9834506
rnN	0.400482182	0.097616724	0.008006116	2	0.9834506
rNn	0.262314415	0.07622205	0.012128577	2	0.9834506
rNN	0.49908044	0.125919048	0.010165903	2	0.9834506
Rnn	0.717369452	0.202014962	0.018150148	2	0.9834506
RnN	0.700706125	0.198740291	0.027326982	2	0.9834506
RNn	0.677364499	0.168395031	0.053713291	2	0.9834506
RNN	1.047558444	0.315098226	0.025117493	2	0.9834506
rnr	0.26564158	0.158264847	0.029118242	1	1.9669012
rnR	0.143536084	0.057549577	0.008227731	1	1.9669012
rNr	0.132087613	0.082762622	0.058409902	1	1.9669012
rNR	0.15739788	0.070655225	0.00861139	1	1.9669012
Rnr	0.42500934	0.187665255	0.012319435	1	1.9669012
RnR	0.63357779	0.324037754	0.018275617	1	1.9669012
RNr	0.512011369	0.274316342	0.231842974	1	1.9669012
RNR	0.839696143	0.460650992	0.017055132	1	1.9669012
rnx	0.167902685	0.067147032	0.008795957	1	1.05840761
rnX	0.411209566	0.197305489	0.005348425	1	1.05840761
rNx	0.079615308	0.027774434	0.052690806	1	1.05840761
rNX	0.377186862	0.172468622	0.019003638	1	1.05840761
Rnx	0.323400929	0.125974875	0.017832371	1	1.05840761
RnX	0.589169923	0.250910236	0.011198952	1	1.05840761
RNx	0.324186687	0.174879529	0.038145503	1	1.05840761
RNX	1.045507557	0.531083136	0.059704872	1	1.05840761
rrc	0.04787142	0.991117475	0.074977861	0	2.9667778
rrC	0.099318931	0.874921181	0.062886924	0	2.9667778
rRc	0.038165521	0.550999823	0.009837603	0	2.9667778
rRC	0.052772769	0.488078357	0.02147582	0	2.9667778
Rrc	0.046724289	0.729800823	0.241091677	0	2.9667778
RrC	0.105458432	0.806579588	0.232973215	0	2.9667778
RRc	0.103408981	1.055887941	0.043271456	0	2.9667778
RRC	0.153303677	1.48685317	0.807699769	0	2.9667778
rrn	1.022981062	0.800220652	0.046033212	1	1.9669012
rrN	0.961841045	0.673685343	0.02706177	1	1.9669012
rRn	0.481414805	0.294934263	0.01185697	1	1.9669012
rRN	0.390490552	0.243727677	0.006447332	1	1.9669012
Rrn	3.028609852	2.080697912	0.089507508	1	1.9669012
RrN	2.498028823	1.751383769	0.152179167	1	1.9669012
RRn	1.263828768	0.928620117	0.034209734	1	1.9669012
RRN	1.502399518	1.059664896	0.054560969	1	1.9669012
rrr	0.013451449	0.220990771	0.006785166	0	2.9503518
rrR	0.014473362	0.122493894	0.004178165	0	2.9503518
rRr	0.012793642	0.19543827	0.034892045	0	2.9503518
rRR	0.007114936	0.059938557	0.136339957	0	2.9503518
Rrr	0.036402113	0.543695455	0.047159559	0	2.9503518
RrR	0.05154251	0.622816172	0.061965084	0	2.9503518
RRr	0.057312424	0.480885936	0.035482128	0	2.9503518
RRR	0.062304623	0.69355097	0.049285448	0	2.9503518
rrx	0.042302	0.168169809	0.038374141	0	2.04185821
rrX	0.071330464	0.197243294	0.009266518	0	2.04185821
rRx	0.039390615	0.165025947	0.016704491	0	2.04185821
rRX	0.010269805	0.024094121	0.005203915	0	2.04185821
Rrx	0.144864437	0.59087345	0.054100034	0	2.04185821
RrX	0.208070557	0.812761257	0.036986304	0	2.04185821
RRx	0.137727528	0.445923888	0.025284525	0	2.04185821
RRX	0.214633786	0.721957333	0.024449815	0	2.04185821
rxc	0.108428123	0.495506124	0.066636784	0	2.05828421
rxC	0.15078089	0.300919635	0.03580817	0	2.05828421
rXc	0.050382905	0.360763631	0.007240235	0	2.05828421
rXC	0.073530687	0.217817524	0.021830369	0	2.05828421
Rxc	0.248867865	1.1076855	0.105481399	0	2.05828421
RxC	0.205652141	0.63958072	0.205795044	0	2.05828421
RXc	0.163149698	1.276151	0.083835966	0	2.05828421
RXC	0.331910398	1.107458504	0.153388481	0	2.05828421
rxn	1.033830997	0.5911542	0.035320453	1	1.05840761
rxN	0.793497015	0.47840029	0.015298889	1	1.05840761
rXn	0.209726549	0.083986504	0.013095139	1	1.05840761
rXN	0.386243952	0.199970345	0.008848604	1	1.05840761
Rxn	2.223664575	1.439427577	0.200764854	1	1.05840761
RxN	2.27044979	1.550226605	0.22489643	1	1.05840761
RXn	0.927406783	0.556488626	0.017216521	1	1.05840761
RXN	1.159021821	0.787118002	0.031801758	1	1.05840761
rxr	0.017488219	0.028692277	0.006507472	0	2.04185821
rxR	0.021783653	0.028952044	0.004356032	0	2.04185821
rXr	0.023005678	0.157825988	0.019932063	0	2.04185821
rXR	0.019664974	0.043179541	0.005277053	0	2.04185821
Rxr	0.137480669	1.056619114	0.071629735	0	2.04185821
RxR	0.097329978	0.39567354	0.028066845	0	2.04185821
RXr	0.115752094	0.718021947	0.048735507	0	2.04185821
RXR	0.073780837	0.273640407	0.009996197	0	2.04185821
rxx	0.172860124	0.224643204	0.016977279	0	1.13336462
rxX	0.115771135	0.093411476	0.008322654	0	1.13336462
rXx	0.054693752	0.060259486	0.005547704	0	1.13336462
rXX	0.089467212	0.119496803	0.004802737	0	1.13336462
Rxx	0.424079299	0.639567663	0.030815568	0	1.13336462
RxX	0.531530132	0.584179586	0.029704371	0	1.13336462
RXx	0.197284972	0.25754668	0.017772797	0	1.13336462
RXX	0.639053884	0.772492265	0.038896464	0	1.13336462
xcc	0.283188017	1.638744637	0.537393872	0	2.07471021
xcC	0.568630941	1.285026944	0.230032535	0	2.07471021
xCc	0.38399655	1.397701938	0.211558927	0	2.07471021
xCC	0.40330841	1.108004341	0.311896332	0	2.07471021
Xcc	0.323985637	1.820745185	0.440890909	0	2.07471021
XcC	0.662780114	1.405302508	0.346756671	0	2.07471021
XCc	1.432184078	2.487995911	0.86950455	0	2.07471021
XCC	1.434177183	2.357969743	1.13006374	0	2.07471021
